ROST
CE
LH
CZR
SRE
BRK-B
ECL
MTB
PEG
ABT
ADSK
KEY
ETR
WYNN
MTD
KO
SYK
GOOGL
JCI
DTE
SPG
PWR
CTRA
PGR
AVY
FTNT
VLTO
TSLA
PNR
MPC
BBWI
MAR
BA
ZION
ANET
GM
XOM
BWA
ANSS
LULU
JBL
ODFL
EPAM
PRU
BIO
SO
PTC
VRTX
RF
TSN
MSCI
PLD
OKE
WY
AOS
PCAR
JBHT
LMT
WDC
PEP
CRL
JKHY
DIS
TTWO
MCD
LRCX
DPZ
DVN
LKQ
MTCH
WM
APA
MAA
AMAT
HLT
QRVO
VFC
EA
AJG
HSY
EW
AMT
CSCO
UHS
AVB
TAP
RTX
MO
AIG
DD
GLW
VLO
OMC
MA
NDAQ
ON
INTC
MMC
LOW
TJX
ADM
CINF
IT
CBOE
CMS
ORCL
PFG
COP
AVGO
ULTA
NWS
BKNG
CTLT
LNT
HON
ADP
DAL
ADBE
GPC
ALLE
ALGN
MRO
CPT
IBM
AMCR
FAST
IEX
GL
BLK
L
ICE
HES
TXN
MCO
BF-B
BALL
WBD
SWKS
SBUX
BAC
FE
LW
NRG
IVZ
TDG
CBRE
TYL
UNP
BLDR
HPE
HST
HUM
CAT
ES
WEC
TPR
A
INVH
HOLX
V
CARR
GS
OXY
D
PANW
CRM
AKAM
DVA
JNJ
MOS
NVDA
MSFT
CTSH
ZBRA
STT
WAT
IR
TXT
CFG
LYB
VICI
EFX
ILMN
RVTY
SWK
DHR
DE
ABNB
URI
APD
DRI
EL
PSA
WFC
AMGN
RHI
EMN
SCHW
TT
HWM
BMY
MRK
MGM
CSX
FI
TMUS
PAYC
GPN
MLM
DAY
FTV
CMA
CVS
SHW
COST
PAYX
MSI
ZTS
CAH
NTRS
BSX
AME
AEP
BDX
PKG
WAB
AMD
BAX
ACN
GIS
ORLY
META
PPG
PCG
RJF
RL
VRSN
AWK
FICO
PNC
SLB
ARE
PG
REGN
INTU
AMP
EQIX
BXP
O
CHTR
ESS
ACGL
CTVA
MS
NOC
NVR
XEL
CI
HBAN
ZBH
CHD
LEN
CL
AXON
FOXA
ROP
AFL
FRT
MAS
WHR
LIN
ETN
MNST
REG
GEHC
KHC
DGX
HAS
AMZN
NTAP
ABBV
FFIV
J
STZ
NWSA
GILD
IP
VTRS
KMX
ITW
CMCSA
IFF
FIS
RSG
FCX
SBAC
AIZ
DXCM
COF
NCLH
CPB
MKC
UBER
WRK
WST
BRO
EMR
IPG
VMC
EXR
IDXX
HD
WELL
KR
CME
BR
PNW
TFX
EBAY
F
XYL
MCK
YUM
DHI
HCA
BKR
AAL
MRNA
T
LLY
BX
CSGP
NEM
GEN
DOC
IRM
AAPL
UNH
NFLX
NI
KDP
XRAY
ENPH
TFC
LVS
EXC
MKTX
HRL
APH
TRGP
IQV
CMG
ADI
AES
ROL
DFS
PM
MDT
GWW
MCHP
EQT
SPGI
GNRC
NXPI
STLD
K
CCI
CHRW
NKE
HPQ
FLT
HUBB
CAG
SNA
JNPR
PSX
CF
AEE
FDX
WTW
CLX
NDSN
LYV
HAL
MOH
TER
CDW
PODD
DG
KMI
PPL
EVRG
FITB
NSC
CTAS
ATO
TGT
CCL
STX
INCY
BIIB
POOL
CEG
DOW
CB
CNP
QCOM
PHM
RMD
EIX
VRSK
NUE
COR
NOW
GD
BG
PFE
TMO
DLR
EQR
PYPL
NEE
FMC
CPRT
AZO
KLAC
EOG
TRV
WBA
PH
ELV
LUV
STE
ROK
SJM
SYF
DOV
WRB
FDS
KMB
MPWR
SYY
KEYS
LHX
WMB
CVX
TROW
TSCO
FSLR
FANG
MET
BEN
ALL
EXPD
AXP
MMM
BK
APTV
ALB
PXD
ISRG
TECH
VTR
GE
TDY
CDNS
DUK
USB
BBY
EXPE
LDOS
TRMB
GRMN
HIG
C
AON
UPS
COO
UDR
CMI
KVUE
PARA
GOOG
ED
DLTR
WMT
ETSY
MHK
CNC
VZ
FOX
KIM
SNPS
RCL
EG
HSIC
TEL
HII
JPM
OTIS
UAL
MU
MDLZ
