exchange,assetType,count
NASDAQ,Stock,4809
NYSE,Stock,2856
NYSE ARCA,ETF,1944
BATS,ETF,606
NASDAQ,ETF,559
NYSE,ETF,356
NYSE MKT,Stock,312
NYSE ARCA,Stock,57
NYSE MKT,ETF,40
BATS,Stock,8
